,SLP3_word_pairs,SLP3
0,"['summary', 'of']",-0.1143496538696755
1,"['of', 'contents']",0.17752636931669466
2,"['contents', 'introduction']",0.28887008441752965
3,"['introduction', 'regular']",0.05639419474979275
4,"['regular', 'expressions']",-0.007567633004109297
5,"['expressions', 'text']",0.08705026456105301
6,"['text', 'normalization']",N/A
7,"['normalization', 'edit']",N/A
8,"['edit', 'distance']",0.3047917606988373
9,"['distance', 'n-gram']",N/A
10,"['n-gram', 'language']",N/A
11,"['language', 'models']",0.16462770395249202
12,"['models', 'naive']",0.26046828992295895
13,"['naive', 'bayes']",N/A
14,"['bayes', 'and']",N/A
15,"['and', 'sentiment']",-0.047016133596118365
16,"['sentiment', 'classification']",0.028353662260083415
17,"['classification', 'logistic']",N/A
18,"['logistic', 'regression']",N/A
19,"['regression', 'vector']",N/A
20,"['vector', 'semantics']",N/A
21,"['semantics', 'and']",0.039486192646643395
22,"['and', 'embeddings']",N/A
23,"['embeddings', 'neural']",N/A
24,"['neural', 'networks']",-0.10383722726401472
25,"['networks', 'and']",-0.13804045092169973
26,"['and', 'neural']",0.1483588166704707
27,"['neural', 'language']",-0.022170583941974114
28,"['language', 'models']",0.16462770395249202
29,"['models', 'part-of-speech']",N/A
30,"['part-of-speech', 'tagging']",N/A
31,"['tagging', 'sequence']",-0.13291468383722413
32,"['sequence', 'processing']",0.12320535336860414
33,"['processing', 'with']",-0.14011714274141088
34,"['with', 'recurrent']",0.035282962440318553
35,"['recurrent', 'networks']",-0.01752094222780464
36,"['networks', 'encoder-decoder']",N/A
37,"['encoder-decoder', 'models']",N/A
38,"['models', 'attention']",0.13333145270462962
39,"['attention', 'and']",-0.09928690249454591
40,"['and', 'contextual']",0.032916964682878816
41,"['contextual', 'embeddings']",N/A
42,"['embeddings', 'machine']",N/A
43,"['machine', 'translation']",0.11136943402875142
44,"['translation', 'constituency']",N/A
45,"['constituency', 'grammars']",N/A
46,"['grammars', 'constituency']",N/A
47,"['constituency', 'parsing']",N/A
48,"['parsing', 'statistical']",0.4490350056023528
49,"['statistical', 'constituency']",N/A
50,"['constituency', 'parsing']",N/A
51,"['parsing', 'dependency']",0.1383045187301847
52,"['dependency', 'parsing']",0.1383045187301847
53,"['parsing', 'logical']",0.012563140369099763
54,"['logical', 'representations']",0.0815770160401016
55,"['representations', 'of']",-0.2704221750531303
56,"['of', 'sentence']",0.1420323277616387
57,"['sentence', 'meaning']",0.08697757657859877
58,"['meaning', 'computational']",-0.04407038676682857
59,"['computational', 'semantics']",0.17869066363324632
60,"['semantics', 'and']",0.039486192646643395
61,"['and', 'semantic']",0.02512970012443374
62,"['semantic', 'parsing']",0.15210652064478847
63,"['parsing', 'information']",0.03781032714956884
64,"['information', 'extraction']",-0.2851017212271096
65,"['extraction', 'word']",-0.006818981755441836
66,"['word', 'senses']",0.24854037579152338
67,"['senses', 'and']",-0.0218709330753685
68,"['and', 'wordnet']",N/A
69,"['wordnet', 'semantic']",N/A
70,"['semantic', 'role']",0.23063699917988023
71,"['role', 'labeling']",0.17231257955485726
72,"['labeling', 'lexicons']",N/A
73,"['lexicons', 'for']",N/A
74,"['for', 'sentiment']",0.006450862157785174
75,"['sentiment', 'affect']",0.021306780665195812
76,"['affect', 'and']",-0.17684833578132814
77,"['and', 'connotation']",0.0834255748499625
78,"['connotation', 'coreference']",N/A
79,"['coreference', 'resolution']",N/A
80,"['resolution', 'discourse']",0.24017065082246344
81,"['discourse', 'coherence']",0.10323566578665307
82,"['coherence', 'summarization']",0.17939983842210835
83,"['summarization', 'question']",0.08443801322145239
84,"['question', 'answering']",0.19553713952241222
85,"['answering', 'dialogue']",0.006539928782788059
86,"['dialogue', 'systems']",0.11774214872459654
87,"['systems', 'and']",-0.10464365736526808
88,"['and', 'chatbots']",N/A
89,"['chatbots', 'phonetics']",N/A
90,"['phonetics', 'speech']",N/A
91,"['speech', 'recognition']",0.347956966098764
92,"['recognition', 'and']",-0.012584374832893467
93,"['and', 'synthesis']",-0.04737098302297879
94,"['synthesis', 'appendix']",0.30659695726509406
95,"['appendix', 'a']",-0.028068135993300575
96,"['a', 'hidden']",0.10671813017894205
97,"['hidden', 'markov']",0.012226802827528686
98,"['markov', 'models']",-0.21938149594695938
